PT_X
7775
7600
7600
7650
7600
7700
7750
7600
7600
7550
7425
7625
7500
7500
7550
7625
7600
7600
7475
7075
7300
7375
7150
7200
7200
7250
7150
7100
7175
7100
7100
7200
7275
7225
7250
7300
6775
6900
6575
6575
6425
6300
6175
6175
6400
6500
6450
6525
6450
6175
6375
6400
6450
6450
6275
6275
6250
6350
6325
6250
6400
6425
6950
6950
7000
6800
6775
6850
6750
6625
6650
6400
6375
6250
6100
6000
6225
6250
6250
6400
6300
6525
6400
6350
6350
6600
6600
6600
6600
6600
6600
6900
7050
7025
7025
7050
6900
7050
7050
7000
7075
7050
6975
6950
7000
7025
7075
7125
7100
7050
7000
6925
6850
6900
6850
6775
6775
6900
6975
7050
7050
6950
7075
6950
6975
6675
6900
6900
7075
7225
7075
7050
7050
7200
7425
7475
7525
7400
7450
7575
7575
7675
7775
7700
7600
7775
7725
7750
7750
7825
7925
